thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,setting,words_file,subID,sessionID,runID,
,,1,0.0,nice,SELF,1,SELF,0.017211291997227818,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,2,2.8,noisy,UPPERCASE,3,LOWER,2.804110999975819,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,3,6.5,candid,UPPERCASE,2,LOWER,6.512088249990484,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,4,10.2,gentle,OBAMA,1,OBAMA,10.211212416994385,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,5,15.5,cruel,SELF,3,SELF,15.517743916978361,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,6,17.9,good,UPPERCASE,1,UPPER,17.90495524997823,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,7,20.6,angry,UPPERCASE,3,LOWER,20.604102957993746,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,8,22.7,loyal,UPPERCASE,1,UPPER,22.70264791700174,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,9,26.8,refined,UPPERCASE,1,UPPER,26.81412591697881,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,10,30.4,foolish,SELF,3,SELF,30.411874749988783,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,11,34.0,prideful,OBAMA,2,OBAMA,34.015944999991916,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,12,40.1,smug,UPPERCASE,3,LOWER,40.11719712498598,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,13,44.6,clean,SELF,1,SELF,44.61819608299993,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,14,48.0,subtle,SELF,2,SELF,48.01155899997684,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,15,50.3,quick,OBAMA,2,OBAMA,50.30374274999485,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,16,55.1,direct,UPPERCASE,2,UPPER,55.112421750003705,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,17,58.6,blunt,UPPERCASE,2,LOWER,58.61109795799712,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,18,65.2,careless,SELF,3,SELF,65.21765691699693,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,19,67.6,wise,OBAMA,1,OBAMA,67.60417070798576,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,20,70.3,stern,SELF,2,SELF,70.30410604199278,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,21,73.8,tough,OBAMA,2,OBAMA,73.81065529197804,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,22,77.0,weak,OBAMA,3,OBAMA,77.01631099998485,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,23,80.4,spiteful,OBAMA,3,OBAMA,80.41157308299444,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,24,86.6,lucky,SELF,2,SELF,86.61427829199238,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,25,91.0,cheerful,OBAMA,1,OBAMA,91.01565183297498,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,26,96.8,tactful,SELF,1,SELF,96.81735104200197,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,27,99.8,loud-mouthed,OBAMA,3,OBAMA,99.80372883297969,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
