thisRow.t	notes	trial_no	onset_time	words	condition_name	valence	judgement	accurate_onsetTime	reaction_time	rt	responses	answer	setting	words_file	subID	sessionID	runID	
		47	184	self-confident	OBAMA	3	OBAMA	184.01691225002287	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		48	188	prudent	OBAMA	3	OBAMA	188.01772341603646	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		49	192	solemn	UPPERCASE	3	UPPER	192.0159062500461	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		50	196	sloppy	SELF	3	SELF	196.0161815410247	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		51	200	sharp-witted	OBAMA	3	OBAMA	200.01757633301895	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		52	204	self-confident	UPPERCASE	2	UPPER	204.01751704100752	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		53	208	logical	UPPERCASE	3	LOWER	208.0164230830269	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		54	212	cruel	UPPERCASE	1	LOWER	212.01588850002736	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		55	216	unethical	OBAMA	1	OBAMA	216.01658958301414	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		56	220	curious	OBAMA	2	OBAMA	220.0156547500519	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		57	224	boastful	UPPERCASE	1	UPPER	224.01617516600527	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		58	228	frank	UPPERCASE	1	LOWER	228.01530354103306	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		59	232	withdrawn	OBAMA	3	OBAMA	232.01841004099697	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		60	236	appreciative	SELF	1	SELF	236.01693225000054	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		61	240	popular	UPPERCASE	3	LOWER	240.0157050830312	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		62	244	argumentative	SELF	3	SELF	244.01747333304957	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
