thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,answer,setting,words_file,subID,sessionID,runID,
,,1,0.0,subtle,SELF,2,SELF,0.02233529200020712,0.949180042007356,0.9268447500071488,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,2,2.8,blunt,UPPERCASE,2,LOWER,2.8127493750071153,3.263073209003778,0.45032383399666287,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,3,6.5,refined,UPPERCASE,1,LOWER,6.515668666994316,6.825500000006286,0.30983133301197086,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,4,10.2,tough,OBAMA,2,OBAMA,10.217929709004238,10.552171208997606,0.33424149999336805,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,5,15.5,nice,SELF,1,SELF,15.517433417000575,15.85648458400101,0.33905116700043436,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,6,17.9,candid,UPPERCASE,2,UPPER,17.91330033399572,18.368623874994228,0.45532354099850636,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,7,20.6,loyal,UPPERCASE,1,LOWER,20.617878042001394,20.980500834004488,0.3626227920030942,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,8,22.7,angry,UPPERCASE,3,UPPER,22.71483879200241,23.140133709006477,0.4252949170040665,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,9,26.8,smug,UPPERCASE,3,UPPER,26.81659783399664,27.155370791995665,0.3387729579990264,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,10,30.4,stern,SELF,2,SELF,30.41902366699651,30.726753584007383,0.3077299170108745,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,11,34.0,cheerful,OBAMA,1,OBAMA,34.01855695899576,34.31441466699471,0.29585770799894817,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,12,40.1,noisy,UPPERCASE,3,UPPER,40.11552908399608,40.4709175839962,0.35538850000011735,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,13,44.6,careless,SELF,3,SELF,44.61700166699302,44.948327834004886,0.33132616701186635,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,14,48.0,tactful,SELF,1,SELF,48.01804933400126,48.395120750006754,0.3770714160054922,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,15,50.3,spiteful,OBAMA,3,OBAMA,50.31448062500567,50.78355649999867,0.4690758749929955,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,16,55.1,good,UPPERCASE,1,LOWER,55.12061862500559,55.426932000002125,0.30631337499653455,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,17,58.6,direct,UPPERCASE,2,LOWER,58.61689525000111,59.018561375007266,0.40166612500615884,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,18,65.2,clean,SELF,1,SELF,65.21890179200273,65.61279266700149,0.3938908749987604,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,19,67.6,gentle,OBAMA,1,OBAMA,67.61769287500647,68.00155749999976,0.38386462499329355,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,20,70.3,cruel,SELF,3,SELF,70.31330079199688,70.65558520899503,0.3422844169981545,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,21,73.8,weak,OBAMA,3,OBAMA,73.81508475000737,74.13057741700322,0.3154926669958513,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,22,77.0,prideful,OBAMA,2,OBAMA,77.01286699999764,77.31010124999739,0.2972342499997467,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,23,80.4,quick,OBAMA,2,OBAMA,80.41709575000277,80.75948933399923,0.34239358399645425,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,24,86.6,lucky,SELF,2,SELF,86.61936037499981,87.18011112499516,0.5607507499953499,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,25,91.0,loud-mouthed,OBAMA,3,OBAMA,91.01597900000343,91.52394029199786,0.5079612919944339,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,26,96.8,foolish,SELF,3,SELF,96.81838495899865,97.25338095899497,0.43499599999631755,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,27,99.8,wise,OBAMA,1,OBAMA,99.81556966700009,100.5445331249939,0.7289634579938138,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
