thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,answer,setting,words_file,subID,sessionID,runID,
,,1,0.0,careless,SELF,3,SELF,0.021893249999266118,0.903426707998733,0.8815334579994669,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,2,2.8,loyal,UPPERCASE,1,UPPER,2.813436708005611,3.269594750003307,0.4561580419976963,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,3,6.5,blunt,UPPERCASE,2,LOWER,6.516912582999794,6.96522820800601,0.4483156250062166,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,4,10.2,wise,OBAMA,1,OBAMA,10.216715500006103,10.60087641699647,0.3841609169903677,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,5,15.5,cruel,SELF,3,SELF,15.518329208003706,16.03122683300171,0.5128976249980042,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,6,17.9,candid,UPPERCASE,2,UPPER,17.91277995800192,18.48175191700284,0.568971959000919,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,7,20.6,smug,UPPERCASE,3,LOWER,20.61309241699928,20.996231708006235,0.3831392910069553,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,8,22.7,good,UPPERCASE,1,LOWER,22.71289287500258,23.08869262499502,0.3757997499924386,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,9,26.8,direct,UPPERCASE,2,LOWER,26.81524070800515,27.10359608300496,0.28835537499981,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,10,30.4,clean,SELF,1,SELF,30.416664792006486,30.713011291998555,0.29634649999206886,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,11,34.0,loud-mouthed,OBAMA,3,OBAMA,34.01359729199612,34.368208041996695,0.3546107500005746,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,12,40.1,refined,UPPERCASE,1,UPPER,40.117481417008094,40.46100345799641,0.3435220409883186,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,13,44.6,subtle,SELF,2,SELF,44.61541316700459,44.886201582994545,0.27078841598995496,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,14,48.0,stern,SELF,2,SELF,48.01735075000033,48.33425016699766,0.31689941699733026,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,15,50.3,spiteful,OBAMA,3,OBAMA,50.31156829200336,50.64787950000027,0.33631120799691416,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,16,55.1,angry,UPPERCASE,3,UPPER,55.11587158299517,55.38236441700428,0.2664928340091137,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,17,58.6,noisy,UPPERCASE,3,LOWER,58.616112832998624,58.927006750003784,0.3108939170051599,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,18,65.2,nice,SELF,1,SELF,65.2173973750032,65.54712524999923,0.3297278749960242,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,19,67.6,weak,OBAMA,3,OBAMA,67.6166499999963,67.9510030829988,0.33435308300249744,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,20,70.3,tactful,SELF,1,SELF,70.31554645800497,70.63054345799901,0.31499699999403674,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,21,73.8,quick,OBAMA,2,OBAMA,73.81689283299784,74.0616216250055,0.2447287920076633,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,22,77.0,prideful,OBAMA,2,OBAMA,77.01430441699631,77.29673741699662,0.28243300000031013,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,23,80.4,gentle,OBAMA,1,OBAMA,80.41847966700152,80.72463241699734,0.30615274999581743,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,24,86.6,lucky,SELF,2,SELF,86.61852258299768,86.96051158300543,0.341989000007743,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,25,91.0,cheerful,OBAMA,1,OBAMA,91.01541824999731,91.48734900000272,0.47193075000541285,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,26,96.8,foolish,SELF,3,SELF,96.81894695799565,97.21184033299505,0.392893374999403,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,27,99.8,tough,OBAMA,2,OBAMA,99.81311658299819,100.25888829199539,0.4457717089971993,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
