thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,setting,words_file,subID,sessionID,runID,
,,1,0.0,lucky,SELF,2,SELF,0.027328125026542693,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,2,2.8,smug,UPPERCASE,3,UPPER,2.8043567500135396,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,3,6.5,noisy,UPPERCASE,3,LOWER,6.510893958999077,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,4,10.2,spiteful,OBAMA,3,OBAMA,10.21156195900403,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,5,15.5,foolish,SELF,3,SELF,15.51768945902586,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,6,17.9,loyal,UPPERCASE,1,LOWER,17.903345958999125,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,7,20.6,candid,UPPERCASE,2,LOWER,20.604079375014408,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,8,22.7,blunt,UPPERCASE,2,UPPER,22.702652042004047,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,9,26.8,refined,UPPERCASE,1,LOWER,26.812015500006964,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,10,30.4,nice,SELF,1,SELF,30.41197991700028,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,11,34.0,gentle,OBAMA,1,OBAMA,34.0122539170261,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,12,40.1,good,UPPERCASE,1,UPPER,40.116134042007616,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,13,44.6,cruel,SELF,3,SELF,44.61713254201459,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,14,48.0,stern,SELF,2,SELF,48.010531167004956,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,15,50.3,prideful,OBAMA,2,OBAMA,50.3036350000184,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,16,55.1,angry,UPPERCASE,3,LOWER,55.113181542023085,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,17,58.6,direct,UPPERCASE,2,UPPER,58.61131525001838,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,18,65.2,tactful,SELF,1,SELF,65.2175380840199,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,19,67.6,quick,OBAMA,2,OBAMA,67.60464608401526,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,20,70.3,clean,SELF,1,SELF,70.3040460839984,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,21,73.8,tough,OBAMA,2,OBAMA,73.8108452919987,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,22,77.0,loud-mouthed,OBAMA,3,OBAMA,77.01134937501047,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,23,80.4,cheerful,OBAMA,1,OBAMA,80.4117714590102,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,24,86.6,careless,SELF,3,SELF,86.61760062500252,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,25,91.0,wise,OBAMA,1,OBAMA,91.01265445901663,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,26,96.8,subtle,SELF,2,SELF,96.81696350002312,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,27,99.8,weak,OBAMA,3,OBAMA,99.80488975002663,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
