words,valence,condition_design
insolent,1,1
underhanded,2,1
maladjusted,3,1
unruly,1,1
unsporting,2,1
unobliging,3,1
domineering,1,1
listless,2,1
uncongenial,3,1
pompous,1,2
unenterprising,2,2
unindustrious,3,2
down-hearted,1,2
obstinate,2,2
spendthrift,3,2
irreligious,1,2
resigned,2,2
bashful,3,2
nonchalant,1,3
shrewd,2,3
inoffensive,3,3
prudent,1,3
soft-hearted,2,3
untiring,3,3
enterprising,1,3
congenial,2,3
clean-cut,3,3
